"","work","dimension","population_size","max_gens","PKG","seconds","generations","diff_fitness","evaluations","initial_temp_1","initial_temp_2","initial_temp","color","base","shape","size","cum_seconds","run","power"
"65","europar-test",10,400,25,419.09,9.27694925,58,4.975093,214741,32.2,30.1,31.15,"red",FALSE,21,4,529.52399036,"W",45.1754115179621
"66","base-europar-test",10,400,25,314.11,6.81468917,NA,0,NA,36.9,31.8,34.35,"blue",TRUE,21,3,536.33867953,"B",46.0930780794511
"67","europar-test",10,400,25,408.54,9.27825605,75,4.41704,277444,33,30.5,31.75,"red",FALSE,21,4,545.61693558,"W",44.0319816351695
"68","base-europar-test",10,400,25,311.69,6.82615836,NA,0,NA,36.6,33.2,34.9,"blue",TRUE,21,3,552.44309394,"B",45.6611147239778
"69","europar-test",10,400,25,415.45,9.19826973,27,6.584939,100456,32.5,31.5,32,"red",FALSE,21,4,561.64136367,"W",45.1661032123267
"70","base-europar-test",10,400,25,304.95,6.85345972,NA,0,NA,34.8,32.2,33.5,"blue",TRUE,21,3,568.49482339,"B",44.495774755936
"71","europar-test",10,400,25,412.45,9.19389976,43,6.602942,159250,33.8,31,32.4,"red",FALSE,21,4,577.68872315,"W",44.8612678805191
"72","base-europar-test",10,400,25,312.67,6.87778454,NA,0,NA,36.4,33.8,35.1,"blue",TRUE,21,3,584.56650769,"B",45.460859987917
"73","europar-test",10,400,25,422.37,9.26642103,56,5.48242,207447,36.1,31,33.55,"red",FALSE,21,4,593.83292872,"W",45.5807046358652
"74","base-europar-test",10,400,25,306.09,6.86654738,NA,0,NA,37.4,34.6,36,"blue",TRUE,21,3,600.6994761,"B",44.5769879767436
"75","europar-test",10,400,25,419.89,9.27113407,37,6.046909,137329,35.4,32,33.7,"red",FALSE,21,4,609.97061017,"W",45.2900364539761
"76","base-europar-test",10,400,25,306.11,6.90022134,NA,0,NA,35,32.5,33.75,"blue",TRUE,21,3,616.87083151,"B",44.3623450490648
"77","europar-test",10,400,25,413.6,9.29387285,37,4.828429,136882,38.6,34.1,36.35,"red",FALSE,21,4,626.16470436,"W",44.5024379691186
"78","base-europar-test",10,400,25,311.68,6.81498706,NA,0,NA,60.4,33.8,47.1,"blue",TRUE,21,3,632.97969142,"B",45.7344962295497
"79","europar-test",10,400,25,415.48,9.24302761,57,5.262245,210987,32.5,31,31.75,"red",FALSE,21,4,642.22271903,"W",44.9506392851725
"80","base-europar-test",10,400,25,304.98,6.85055627,NA,0,NA,34,31.1,32.55,"blue",TRUE,21,3,649.0732753,"B",44.5190124684575
"81","europar-test",10,400,25,425.49,9.2889419,79,2.846565,292379,36.6,33.2,34.9,"red",FALSE,21,4,658.3622172,"W",45.806078300479
"82","base-europar-test",10,400,25,315.39,6.87563056,NA,0,NA,38.4,33,35.7,"blue",TRUE,21,3,665.23784776,"B",45.8707019302096
"83","europar-test",10,400,25,430.36,9.21247076,40,4.36066,148337,35,32,33.5,"red",FALSE,21,4,674.45031852,"W",46.7149379587285
"84","base-europar-test",10,400,25,312.67,6.84538146,NA,0,NA,36.4,35.1,35.75,"blue",TRUE,21,3,681.29569998,"B",45.6760520691275
"85","europar-test",10,400,25,428.07,9.32252437,64,4.227762,236730,34,31,32.5,"red",FALSE,21,4,690.61822435,"W",45.9178204325788
"86","base-europar-test",10,400,25,318.98,6.85458603,NA,0,NA,33.2,31,32.1,"blue",TRUE,21,3,697.47281038,"B",46.5352683012427
"87","europar-test",10,400,25,425.8,9.2284513,35,5.909,130031,32.5,32,32.25,"red",FALSE,21,4,706.70126168,"W",46.1399194900666
"88","base-europar-test",10,400,25,309.2,6.82666627,NA,0,NA,36.9,34.1,35.5,"blue",TRUE,21,3,713.52792795,"B",45.2929713817693
"89","europar-test",10,400,25,416.63,9.31164353,75,5.136797,277283,37.4,33.2,35.3,"red",FALSE,21,4,722.83957148,"W",44.7429069484579
"90","base-europar-test",10,400,25,306.7,6.85861386,NA,0,NA,36.1,34.1,35.1,"blue",TRUE,21,3,729.69818534,"B",44.7174904813784
"91","europar-test",10,400,25,427.02,9.25374256,59,3.051275,218472,34.2,32,33.1,"red",FALSE,21,4,738.9519279,"W",46.1456537429327
"92","base-europar-test",10,400,25,316.69,6.83205934,NA,0,NA,35.9,32.5,34.2,"blue",TRUE,21,3,745.78398724,"B",46.3535201086236
"93","europar-test",10,400,25,419.23,9.28860823,36,6.780411,133805,32.8,31,31.9,"red",FALSE,21,4,755.07259547,"W",45.1337799613495
"94","base-europar-test",10,400,25,313.34,6.88275393,NA,0,NA,41,33.5,37.25,"blue",TRUE,21,3,761.9553494,"B",45.5253817275435
"95","europar-test",10,400,25,437.5,9.33806774,43,4.672231,159395,42.8,35.1,38.95,"red",FALSE,21,4,771.29341714,"W",46.8512343432625
"96","base-europar-test",10,400,25,314.3,6.89094245,NA,0,NA,39.4,34.6,37,"blue",TRUE,21,3,778.18435959,"B",45.610597139728
"97","europar-test",10,400,25,430.66,9.30612029,46,4.931235,170453,34.9,32.2,33.55,"red",FALSE,21,4,787.49047988,"W",46.2770721395865
"98","base-europar-test",10,400,25,309.05,6.83158782,NA,0,NA,33.8,31.2,32.5,"blue",TRUE,21,3,794.3220677,"B",45.2383850054935
"99","europar-test",10,400,25,421.59,9.21656055,34,5.128583,126264,34.5,30.9,32.7,"red",FALSE,21,4,803.53862825,"W",45.7426604765267
