"","work","dimension","population_size","max_gens","PKG","seconds","generations","diff_fitness","evaluations","initial_temp_1","initial_temp_2","initial_temp","color","base","shape","size","cum_seconds","run","power"
"3973","taskset-2",5,400,25,432.19,9.41817238,54,0.0992509999999953,200657,34,32,33,"red",FALSE,22,4,2620.13870539,"W",45.8889456002928
"3974","base-taskset-2",5,400,25,321.07,6.92104943,NA,0,NA,32.5,31.5,32,"blue",TRUE,22,3,2627.05975482,"B",46.3903636648351
"3975","taskset-2",5,400,25,438.72,9.36475521,62,0.104985999999997,229941,32.5,31.5,32,"red",FALSE,22,4,2636.42451003,"W",46.8479944389278
"3976","base-taskset-2",5,400,25,323.75,6.92257635,NA,0,NA,34.4,32,33.2,"blue",TRUE,22,3,2643.34708638,"B",46.7672703963749
"3977","taskset-2",5,400,25,428.11,9.34195801,31,0.0393459999999948,115415,32.5,31.5,32,"red",FALSE,22,4,2652.68904439,"W",45.8265814877068
"3978","base-taskset-2",5,400,25,312.4,6.9043682,NA,0,NA,33,30.5,31.75,"blue",TRUE,22,3,2659.59341259,"B",45.2467178676827
"3979","taskset-2",5,400,25,428.8,9.30022708,30,0.176006000000001,111887,35.8,31,33.4,"red",FALSE,22,4,2668.89363967,"W",46.1064010923054
"3980","base-taskset-2",5,400,25,315.61,6.8926667,NA,0,NA,34.5,32.5,33.5,"blue",TRUE,22,3,2675.78630637,"B",45.7892443863563
"3981","taskset-2",5,400,25,434.34,9.33501834,38,0.216366999999998,141326,33,31.5,32.25,"red",FALSE,22,4,2685.12132471,"W",46.5280285673226
"3982","base-taskset-2",5,400,25,322,6.91479247,NA,0,NA,32.5,31,31.75,"blue",TRUE,22,3,2692.03611718,"B",46.5668349985925
"3983","taskset-2",5,400,25,429.69,9.28261942,29,0.156014999999996,107852,32.8,30.5,31.65,"red",FALSE,22,4,2701.3187366,"W",46.2897357478866
"3984","base-taskset-2",5,400,25,317.65,6.89846887,NA,0,NA,33.8,31,32.4,"blue",TRUE,22,3,2708.21720547,"B",46.0464497247198
"3985","taskset-2",5,400,25,447.71,9.36584544,38,0.131274999999995,141391,34.5,31.5,33,"red",FALSE,22,4,2717.58305091,"W",47.802411738283
"3986","base-taskset-2",5,400,25,322.25,6.96219638,NA,0,NA,34,32,33,"blue",TRUE,22,3,2724.54524729,"B",46.2856808988775
"3987","taskset-2",5,400,25,443.35,9.38328141,28,0.207180999999999,104360,33,30.5,31.75,"red",FALSE,22,4,2733.9285287,"W",47.2489293060646
"3988","base-taskset-2",5,400,25,320.95,6.92552805,NA,0,NA,33,31,32,"blue",TRUE,22,3,2740.85405675,"B",46.3430366150925
"3989","taskset-2",5,400,25,433.69,9.36836592,34,0.137214,126282,65,31.5,48.25,"red",FALSE,22,4,2750.22242267,"W",46.2930252408416
"3990","base-taskset-2",5,400,25,319.49,6.89508972,NA,0,NA,34,31.5,32.75,"blue",TRUE,22,3,2757.11751239,"B",46.3358727694699
"3991","taskset-2",5,400,25,439.57,9.34267591,39,0.087106999999996,144813,34.5,31.5,33,"red",FALSE,22,4,2766.4601883,"W",47.0496894288609
"3992","base-taskset-2",5,400,25,325.97,6.92464967,NA,0,NA,33,31,32,"blue",TRUE,22,3,2773.38483797,"B",47.0738615719747
"3993","taskset-2",5,400,25,440.18,9.38955753,54,0.0798059999999978,200625,32.5,31,31.75,"red",FALSE,22,4,2782.7743955,"W",46.8797383256461
"3994","base-taskset-2",5,400,25,319.06,6.87413744,NA,0,NA,34.5,31.5,33,"blue",TRUE,22,3,2789.64853294,"B",46.414550594147
"3995","taskset-2",5,400,25,429.62,9.31658814,33,0.148218999999997,123116,34,31.5,32.75,"red",FALSE,22,4,2798.96512108,"W",46.113447706834
"3996","base-taskset-2",5,400,25,327.53,6.91576722,NA,0,NA,32.2,30.5,31.35,"blue",TRUE,22,3,2805.8808883,"B",47.3598936431524
"3997","taskset-2",5,400,25,435.92,9.34871728,40,0.155960999999998,148726,33,31.5,32.25,"red",FALSE,22,4,2815.22960558,"W",46.6288568735068
"3998","base-taskset-2",5,400,25,314.02,6.88863214,NA,0,NA,33,32,32.5,"blue",TRUE,22,3,2822.11823772,"B",45.5852473492655
"3999","taskset-2",5,400,25,439.56,9.404033,61,0.14181,226765,34.8,31.5,33.15,"red",FALSE,22,4,2831.52227072,"W",46.7416479716734
"4000","base-taskset-2",5,400,25,325.88,6.96235532,NA,0,NA,35,32,33.5,"blue",TRUE,22,3,2838.48462604,"B",46.8059995536108
"4001","taskset-2",5,400,25,432.27,9.39572273,31,0.131191000000001,115363,34,31.5,32.75,"red",FALSE,22,4,2847.88034877,"W",46.0071047669156
"4002","base-taskset-2",5,400,25,321.27,6.96223251,NA,0,NA,34.5,31,32.75,"blue",TRUE,22,3,2854.84258128,"B",46.1446812554096
"4003","taskset-2",5,400,25,434.43,9.35198645,68,0.0707599999999999,252252,33.2,30.5,31.85,"red",FALSE,22,4,2864.19456773,"W",46.4532324039028
"4004","base-taskset-2",5,400,25,327.05,6.88212521,NA,0,NA,33,31.5,32.25,"blue",TRUE,22,3,2871.07669294,"B",47.5216579211293
"4005","taskset-2",5,400,25,445.23,9.40259417,37,0.163132999999995,137991,34,32.2,33.1,"red",FALSE,22,4,2880.47928711,"W",47.3518256717444
"4006","base-taskset-2",5,400,25,322.45,6.91246687,NA,0,NA,34.5,32,33.25,"blue",TRUE,22,3,2887.39175398,"B",46.6476015095896
"4007","taskset-2",5,400,25,427.71,9.36815795,67,0.0244439999999955,249006,32.5,31,31.75,"red",FALSE,22,4,2896.75991193,"W",45.6557203969858
"4008","base-taskset-2",5,400,25,325.81,6.91538018,NA,0,NA,33.5,31.5,32.5,"blue",TRUE,22,3,2903.67529211,"B",47.1138233212798
"4009","taskset-2",5,400,25,439.65,9.31174084,32,0.218969999999999,119476,32,31,31.5,"red",FALSE,22,4,2912.98703295,"W",47.2145872135333
"4010","base-taskset-2",5,400,25,325.73,6.94372007,NA,0,NA,32.5,30.5,31.5,"blue",TRUE,22,3,2919.93075302,"B",46.910013179722
"4011","taskset-2",5,400,25,432.81,9.39535305,75,0.175792000000001,278434,33.2,31,32.1,"red",FALSE,22,4,2929.32610607,"W",46.0663902353302
"4012","base-taskset-2",5,400,25,327.55,6.95592765,NA,0,NA,34.5,31,32.75,"blue",TRUE,22,3,2936.28203372,"B",47.0893339438342
"4013","taskset-2",5,400,25,436.43,9.4152125,28,0.0392809999999955,104573,33.5,31.5,32.5,"red",FALSE,22,4,2945.69724622,"W",46.3537068334889
"4014","base-taskset-2",5,400,25,319.92,6.84923491,NA,0,NA,32.5,30.5,31.5,"blue",TRUE,22,3,2952.54648113,"B",46.7088666404055
"4015","taskset-2",5,400,25,439.73,9.37899893,55,0.142392999999998,203957,33,31.5,32.25,"red",FALSE,22,4,2961.92548006,"W",46.8845346163186
"4016","base-taskset-2",5,400,25,328.84,6.95466506,NA,0,NA,34.5,31.5,33,"blue",TRUE,22,3,2968.88014512,"B",47.2833698191067
"4017","taskset-2",5,400,25,442.38,9.36695694,38,0.0344839999999991,141171,33,31.5,32.25,"red",FALSE,22,4,2978.24710206,"W",47.2277179060033
"4018","base-taskset-2",5,400,25,322.74,6.91179256,NA,0,NA,34,31.5,32.75,"blue",TRUE,22,3,2985.15889462,"B",46.6941096970653
"4019","taskset-2",5,400,25,437.78,9.3701842,56,0.114233999999996,207737,32.5,31.5,32,"red",FALSE,22,4,2994.52907882,"W",46.7205329858937
"4020","base-taskset-2",5,400,25,324.1,6.95797698,NA,0,NA,34,31.5,32.75,"blue",TRUE,22,3,3001.4870558,"B",46.579630966241
"4021","taskset-2",5,400,25,430.36,9.34492912,35,0.145362999999996,130234,34.8,31,32.9,"red",FALSE,22,4,3010.83198492,"W",46.0527837582999
"4022","base-taskset-2",5,400,25,326.59,6.94149108,NA,0,NA,33,31.5,32.25,"blue",TRUE,22,3,3017.773476,"B",47.0489691963992
"4023","taskset-2",5,400,25,429.57,9.33878057,69,0.083874999999999,256356,33,31.5,32.25,"red",FALSE,22,4,3027.11225657,"W",45.9985109169344
"4024","base-taskset-2",5,400,25,332.01,6.9133981,NA,0,NA,33.5,31,32.25,"blue",TRUE,22,3,3034.02565467,"B",48.0241402560052
"4025","taskset-2",5,400,25,424.68,9.29780653,41,0.130096999999999,152661,33.8,31.5,32.65,"red",FALSE,22,4,3043.3234612,"W",45.6752889651706
"4026","base-taskset-2",5,400,25,325.56,6.92547046,NA,0,NA,35,31,33,"blue",TRUE,22,3,3050.24893166,"B",47.0090807375995
"4027","base-taskset-2",5,200,10,314.7,6.89686724,NA,0,NA,33,31.5,32.25,"blue",TRUE,22,3,3057.1457989,"B",45.6294124635057
"4028","taskset-2",5,200,10,432.79,9.31303746,21,0.316589,39318,39.1,32,35.55,"red",FALSE,22,4,3066.45883636,"W",46.4714119167733
"4029","base-taskset-2",5,200,10,325.11,6.88300926,NA,0,NA,33,31,32,"blue",TRUE,22,3,3073.34184562,"B",47.2337008013847
"4030","taskset-2",5,200,10,426.03,9.30216182,23,0.416430999999996,42989,34.2,31.5,32.85,"red",FALSE,22,4,3082.64400744,"W",45.799031262176
"4031","base-taskset-2",5,200,10,323.85,6.92810781,NA,0,NA,36.1,31,33.55,"blue",TRUE,22,3,3089.57211525,"B",46.7443649668033
"4032","taskset-2",5,200,10,428.92,9.26143572,13,0.192149999999998,24557,33,31.5,32.25,"red",FALSE,22,4,3098.83355097,"W",46.3124738936265
"4033","base-taskset-2",5,200,10,314.61,6.85960801,NA,0,NA,33.5,31,32.25,"blue",TRUE,22,3,3105.69315898,"B",45.8641367759439
"4034","taskset-2",5,200,10,430.99,9.30169848,12,0.358857,22732,33,31,32,"red",FALSE,22,4,3114.99485746,"W",46.3345485694565
"4035","base-taskset-2",5,200,10,317.48,6.92690183,NA,0,NA,34.8,31.5,33.15,"blue",TRUE,22,3,3121.92175929,"B",45.8329001610811
"4036","taskset-2",5,200,10,430.94,9.29866765,27,0.160882999999998,50299,33,31,32,"red",FALSE,22,4,3131.22042694,"W",46.3442738487379
"4037","base-taskset-2",5,200,10,321.01,6.90163139,NA,0,NA,34,31.5,32.75,"blue",TRUE,22,3,3138.12205833,"B",46.5121913733501
"4038","taskset-2",5,200,10,450.48,9.33353327,22,0.203510999999999,40926,34.8,31.5,33.15,"red",FALSE,22,4,3147.4555916,"W",48.2646803700738
"4039","base-taskset-2",5,200,10,319.94,6.94620697,NA,0,NA,34.8,31.5,33.15,"blue",TRUE,22,3,3154.40179857,"B",46.0596698862833
"4040","taskset-2",5,200,10,431.69,9.27973601,24,0.0927459999999982,44672,33,32,32.5,"red",FALSE,22,4,3163.68153458,"W",46.519642319006
"4041","base-taskset-2",5,200,10,318.87,6.92917375,NA,0,NA,34,31.5,32.75,"blue",TRUE,22,3,3170.61070833,"B",46.0184737033041
"4042","taskset-2",5,200,10,436.42,9.37964059,22,0.0873360000000005,41132,32.5,32,32.25,"red",FALSE,22,4,3179.99034892,"W",46.5284352649167
"4043","base-taskset-2",5,200,10,324.45,6.91414366,NA,0,NA,34,31.5,32.75,"blue",TRUE,22,3,3186.90449258,"B",46.9255508642411
"4044","taskset-2",5,200,10,435.04,9.28152392,23,0.0921260000000004,43028,32.5,31,31.75,"red",FALSE,22,4,3196.1860165,"W",46.8716132986058
"4045","base-taskset-2",5,200,10,320.84,6.89616845,NA,0,NA,34,32,33,"blue",TRUE,22,3,3203.08218495,"B",46.5243855810976
"4046","taskset-2",5,200,10,426.11,9.29112959,19,0.118966999999998,35584,34.5,31,32.75,"red",FALSE,22,4,3212.37331454,"W",45.8620231127354
"4047","base-taskset-2",5,200,10,324.46,6.91737406,NA,0,NA,35.8,31.5,33.65,"blue",TRUE,22,3,3219.2906886,"B",46.9050823601117
"4048","taskset-2",5,200,10,420.72,9.26422206,15,0.0962989999999948,28193,32.2,31,31.6,"red",FALSE,22,4,3228.55491066,"W",45.4134192029503
"4049","base-taskset-2",5,200,10,321.33,6.91259282,NA,0,NA,33.5,31.5,32.5,"blue",TRUE,22,3,3235.46750348,"B",46.4847284321891
"4050","taskset-2",5,200,10,439.76,9.27067126,23,0.0382499999999979,43000,32.5,31,31.75,"red",FALSE,22,4,3244.73817474,"W",47.4356157894871
"4051","base-taskset-2",5,200,10,318.8,6.92530268,NA,0,NA,33.5,30.5,32,"blue",TRUE,22,3,3251.66347742,"B",46.0340890111102
"4052","taskset-2",5,200,10,427.22,9.28962968,27,0.171791999999996,50295,33.8,31,32.4,"red",FALSE,22,4,3260.9531071,"W",45.9889161049959
"4053","base-taskset-2",5,200,10,317.02,6.92856263,NA,0,NA,33.5,31,32.25,"blue",TRUE,22,3,3267.88166973,"B",45.7555220223217
"4054","taskset-2",5,200,10,428.06,9.36789284,18,0.376795000000001,33885,32.5,30.5,31.5,"red",FALSE,22,4,3277.24956257,"W",45.694374104305
"4055","base-taskset-2",5,200,10,320.19,6.86623801,NA,0,NA,33.5,31,32.25,"blue",TRUE,22,3,3284.11580058,"B",46.6325227196719
"4056","taskset-2",5,200,10,433.47,9.33976693,21,0.113360999999998,39150,33.8,31,32.4,"red",FALSE,22,4,3293.45556751,"W",46.4112223836832
"4057","base-taskset-2",5,200,10,330.64,6.92399678,NA,0,NA,34,32,33,"blue",TRUE,22,3,3300.37956429,"B",47.7527662859485
"4058","taskset-2",5,200,10,435.18,9.36457498,27,0.261032,50314,32.5,31,31.75,"red",FALSE,22,4,3309.74413927,"W",46.4708757129306
"4059","base-taskset-2",5,200,10,330.3,6.92987029,NA,0,NA,33.8,31.5,32.65,"blue",TRUE,22,3,3316.67400956,"B",47.6632297831941
"4060","taskset-2",5,200,10,430.19,9.29291082,20,0.0730959999999996,37299,32.5,31,31.75,"red",FALSE,22,4,3325.96692038,"W",46.2922768046105
"4061","base-taskset-2",5,200,10,327.66,6.92643244,NA,0,NA,34,31.5,32.75,"blue",TRUE,22,3,3332.89335282,"B",47.3057382481305
"4062","taskset-2",5,200,10,431.27,9.32249003,25,0.105179,46542,33,31.5,32.25,"red",FALSE,22,4,3342.21584285,"W",46.2612455054564
"4063","base-taskset-2",5,200,10,328.68,6.92772896,NA,0,NA,32.5,30.5,31.5,"blue",TRUE,22,3,3349.14357181,"B",47.4441194073505
"4064","taskset-2",5,200,10,442.75,9.32454625,18,0.306475999999996,33740,32.5,31.5,32,"red",FALSE,22,4,3358.46811806,"W",47.4822032224892
"4065","base-taskset-2",5,200,10,313.88,6.89476815,NA,0,NA,32.5,30.5,31.5,"blue",TRUE,22,3,3365.36288621,"B",45.5243734337898
"4066","taskset-2",5,200,10,446.07,9.30931053,28,0.164709999999999,52044,34.5,31.5,33,"red",FALSE,22,4,3374.67219674,"W",47.9165453298076
"4067","base-taskset-2",5,200,10,325.05,6.94628502,NA,0,NA,33.5,31.5,32.5,"blue",TRUE,22,3,3381.61848176,"B",46.7947973721355
"4068","taskset-2",5,200,10,443.12,9.34611672,16,0.242500999999997,30007,32.5,31,31.75,"red",FALSE,22,4,3390.96459848,"W",47.4122047985722
"4069","base-taskset-2",5,200,10,330.45,6.92912327,NA,0,NA,33.5,31.5,32.5,"blue",TRUE,22,3,3397.89372175,"B",47.6900160559562
"4070","taskset-2",5,200,10,445.96,9.33873969,26,0.321571999999996,48377,32.5,31,31.75,"red",FALSE,22,4,3407.23246144,"W",47.7537670824616
"4071","base-taskset-2",5,200,10,324.36,6.90471114,NA,0,NA,33,31.5,32.25,"blue",TRUE,22,3,3414.13717258,"B",46.9766212406679
"4072","taskset-2",5,200,10,444.12,9.3229523,28,0.0511539999999968,52050,36.9,31,33.95,"red",FALSE,22,4,3423.46012488,"W",47.637270438464
"4073","base-taskset-2",5,200,10,318.41,6.9332853,NA,0,NA,33,30.5,31.75,"blue",TRUE,22,3,3430.39341018,"B",45.9248373927437
"4074","taskset-2",5,200,10,433.79,9.37430187,25,0.133460999999997,46828,33,31,32,"red",FALSE,22,4,3439.76771205,"W",46.2743792567883
"4075","base-taskset-2",5,200,10,327.16,6.93156549,NA,0,NA,34,31.5,32.75,"blue",TRUE,22,3,3446.69927754,"B",47.1985730311552
"4076","taskset-2",5,200,10,436.86,9.37601202,13,0.453586999999999,24419,32,30.1,31.05,"red",FALSE,22,4,3456.07528956,"W",46.593370301588
"4077","base-taskset-2",5,200,10,317.27,6.92120578,NA,0,NA,33.5,30.5,32,"blue",TRUE,22,3,3462.99649534,"B",45.8402784261675
"4078","taskset-2",5,200,10,441.89,9.33722386,16,0.197434999999999,29927,32,30.5,31.25,"red",FALSE,22,4,3472.3337192,"W",47.3256298259084
"4079","base-taskset-2",5,200,10,318.15,6.92759845,NA,0,NA,32.8,32,32.4,"blue",TRUE,22,3,3479.26131765,"B",45.9250059448812
"4080","taskset-2",5,200,10,430.29,9.3283717,24,0.271079999999998,44864,33,30.5,31.75,"red",FALSE,22,4,3488.58968935,"W",46.1270212892567
"4081","base-taskset-2",5,200,10,328.05,6.93788757,NA,0,NA,32.5,30.5,31.5,"blue",TRUE,22,3,3495.52757692,"B",47.2838449297615
"4082","taskset-2",5,200,10,432.56,9.34199773,30,0.144846999999999,55907,34,31.5,32.75,"red",FALSE,22,4,3504.86957465,"W",46.302730154913
"4083","base-taskset-2",5,200,10,327.12,6.93472242,NA,0,NA,33,31.5,32.25,"blue",TRUE,22,3,3511.80429707,"B",47.1713185024643
"4084","taskset-2",5,200,10,442.24,9.34580495,15,0.458179000000001,28159,33,31,32,"red",FALSE,22,4,3521.15010202,"W",47.3196265453839
"4085","base-taskset-2",5,200,10,332.72,6.93064777,NA,0,NA,33,31.5,32.25,"blue",TRUE,22,3,3528.08074979,"B",48.0070566333225
"4086","taskset-2",5,200,10,435.24,9.29854752,32,0.164696999999997,59653,32.5,31.5,32,"red",FALSE,22,4,3537.37929731,"W",46.8073103959359
"4087","base-taskset-2",5,200,10,316.33,6.90576522,NA,0,NA,34.8,31.5,33.15,"blue",TRUE,22,3,3544.28506253,"B",45.8066542841432
"4088","base-taskset-2",5,200,25,322.86,6.87639107,NA,0,NA,33.5,30.5,32,"blue",TRUE,22,3,3551.1614536,"B",46.951954406514
"4089","taskset-2",5,200,25,445.13,9.32076347,76,0.197535999999999,141148,34.5,31.5,33,"red",FALSE,22,4,3560.48221707,"W",47.7568175002729
"4090","base-taskset-2",5,200,25,324.76,6.85211745,NA,0,NA,32.5,31.5,32,"blue",TRUE,22,3,3567.33433452,"B",47.3955682122758
"4091","taskset-2",5,200,25,435.71,9.35382766,62,0.114376999999998,115133,34,31.5,32.75,"red",FALSE,22,4,3576.68816218,"W",46.5809309127254
"4092","base-taskset-2",5,200,25,330.54,6.93778426,NA,0,NA,33.5,31,32.25,"blue",TRUE,22,3,3583.62594644,"B",47.6434532428081
"4093","taskset-2",5,200,25,433.2,9.30207746,32,0.324095999999997,59612,33.2,31,32.1,"red",FALSE,22,4,3592.9280239,"W",46.5702421703979
"4094","base-taskset-2",5,200,25,324.76,6.92533258,NA,0,NA,34.9,32,33.45,"blue",TRUE,22,3,3599.85335648,"B",46.8944987476688
"4095","taskset-2",5,200,25,433.16,9.28837342,80,0.0253799999999984,148561,35.2,31.8,33.5,"red",FALSE,22,4,3609.1417299,"W",46.6346453155412
"4096","base-taskset-2",5,200,25,318.18,6.88339752,NA,0,NA,34.2,31.5,32.85,"blue",TRUE,22,3,3616.02512742,"B",46.2242662980766
"4097","taskset-2",5,200,25,434.83,9.27366787,32,0.245317999999997,59536,34.2,31.5,32.85,"red",FALSE,22,4,3625.29879529,"W",46.8886751278488
"4098","base-taskset-2",5,200,25,315.84,6.89842976,NA,0,NA,36.1,31,33.55,"blue",TRUE,22,3,3632.19722505,"B",45.7843322304118
"4099","taskset-2",5,200,25,436.81,9.35643219,52,0.0534279999999967,96294,35.2,31,33.1,"red",FALSE,22,4,3641.55365724,"W",46.6855304596613
"4100","base-taskset-2",5,200,25,324.58,6.91474237,NA,0,NA,34,31,32.5,"blue",TRUE,22,3,3648.46839961,"B",46.9402882467767
"4101","taskset-2",5,200,25,431.89,9.32571899,34,0.201259999999998,63192,32.5,30.5,31.5,"red",FALSE,22,4,3657.7941186,"W",46.3117107070369
"4102","base-taskset-2",5,200,25,321.18,6.9127196,NA,0,NA,33,31,32,"blue",TRUE,22,3,3664.7068382,"B",46.4621767675923
"4103","taskset-2",5,200,25,432.68,9.3421567,41,0.147304999999996,76171,32.5,31,31.75,"red",FALSE,22,4,3674.0489949,"W",46.3147872482165
"4104","base-taskset-2",5,200,25,325.51,6.93339288,NA,0,NA,33,30.5,31.75,"blue",TRUE,22,3,3680.98238778,"B",46.9481544798886
"4105","taskset-2",5,200,25,435.53,9.33028771,35,0.228625000000001,65012,33.2,31,32.1,"red",FALSE,22,4,3690.31267549,"W",46.6791607651293
"4106","base-taskset-2",5,200,25,318.73,6.96633511,NA,0,NA,32.5,31,31.75,"blue",TRUE,22,3,3697.2790106,"B",45.7528951690066
"4107","taskset-2",5,200,25,436.73,9.36471278,63,0.100003999999998,116946,34,31.5,32.75,"red",FALSE,22,4,3706.64372338,"W",46.635706856137
"4108","base-taskset-2",5,200,25,331.9,6.94282283,NA,0,NA,34,32,33,"blue",TRUE,22,3,3713.58654621,"B",47.804763008766
"4109","taskset-2",5,200,25,422.12,9.28647203,28,0.157900999999995,52143,33.5,31.5,32.5,"red",FALSE,22,4,3722.87301824,"W",45.4553676182235
"4110","base-taskset-2",5,200,25,321.62,6.91882328,NA,0,NA,34,31.5,32.75,"blue",TRUE,22,3,3729.79184152,"B",46.4847831754419
"4111","taskset-2",5,200,25,437.05,9.38545859,108,0.0976179999999971,199937,33,31,32,"red",FALSE,22,4,3739.17730011,"W",46.5667176312159
"4112","base-taskset-2",5,200,25,329.22,6.93889273,NA,0,NA,34.5,31.5,33,"blue",TRUE,22,3,3746.11619284,"B",47.4456102450801
"4113","taskset-2",5,200,25,438.45,9.34195865,41,0.0668779999999956,76280,33,31.5,32.25,"red",FALSE,22,4,3755.45815149,"W",46.9334126200612
"4114","base-taskset-2",5,200,25,325.47,6.93819632,NA,0,NA,33,31.5,32.25,"blue",TRUE,22,3,3762.39634781,"B",46.9098862281833
"4115","taskset-2",5,200,25,429.33,9.34699201,39,0.196489999999997,72624,33.5,32,32.75,"red",FALSE,22,4,3771.74333982,"W",45.932423986313
"4116","base-taskset-2",5,200,25,322.13,6.92327739,NA,0,NA,34.8,31,32.9,"blue",TRUE,22,3,3778.66661721,"B",46.528541592929
"4117","taskset-2",5,200,25,432.05,9.37102483,86,0.0881040000000013,159444,32.5,31,31.75,"red",FALSE,22,4,3788.03764204,"W",46.1048826396077
"4118","base-taskset-2",5,200,25,312.26,6.88771703,NA,0,NA,33.2,30.5,31.85,"blue",TRUE,22,3,3794.92535907,"B",45.3357765192627
"4119","taskset-2",5,200,25,431.31,9.33641627,88,0.0690689999999989,162974,35,31,33,"red",FALSE,22,4,3804.26177534,"W",46.1965263251914
"4120","base-taskset-2",5,200,25,328.46,6.91048515,NA,0,NA,33,31,32,"blue",TRUE,22,3,3811.17226049,"B",47.530671562184
"4121","taskset-2",5,200,25,432.5,9.28945239,31,0.300610999999996,57556,33,30.5,31.75,"red",FALSE,22,4,3820.46171288,"W",46.5581803794572
"4122","base-taskset-2",5,200,25,315.22,6.88785038,NA,0,NA,34,31,32.5,"blue",TRUE,22,3,3827.34956326,"B",45.7646410141679
"4123","taskset-2",5,200,25,437.59,9.3011769,38,0.192231,70798,34.8,31,32.9,"red",FALSE,22,4,3836.65074016,"W",47.0467344836759
"4124","base-taskset-2",5,200,25,330.47,6.91995003,NA,0,NA,34.5,31.5,33,"blue",TRUE,22,3,3843.57069019,"B",47.7561251984937
"4125","taskset-2",5,200,25,434.08,9.35748491,46,0.131673999999997,85511,33,30.5,31.75,"red",FALSE,22,4,3852.9281751,"W",46.3885332624063
"4126","base-taskset-2",5,200,25,325.94,6.90497669,NA,0,NA,34,30.5,32.25,"blue",TRUE,22,3,3859.83315179,"B",47.2036350929376
"4127","taskset-2",5,200,25,433.68,9.32174877,39,0.141638999999998,72471,35.4,31,33.2,"red",FALSE,22,4,3869.15490056,"W",46.5234593530029
"4128","base-taskset-2",5,200,25,319.93,6.94048487,NA,0,NA,32.5,31,31.75,"blue",TRUE,22,3,3876.09538543,"B",46.0962030740656
"4129","taskset-2",5,200,25,444.6,9.38314205,36,0.223774999999996,66970,33,31,32,"red",FALSE,22,4,3885.47852748,"W",47.3828486908604
"4130","base-taskset-2",5,200,25,320.83,6.90183986,NA,0,NA,34.5,32,33.25,"blue",TRUE,22,3,3892.38036734,"B",46.4847064707178
"4131","taskset-2",5,200,25,432.83,9.32868872,76,0.202725000000001,141043,35.2,31,33.1,"red",FALSE,22,4,3901.70905606,"W",46.3977320919762
"4132","base-taskset-2",5,200,25,321.97,6.89787573,NA,0,NA,33,31.5,32.25,"blue",TRUE,22,3,3908.60693179,"B",46.6766889695764
"4133","taskset-2",5,200,25,438.06,9.34041938,41,0.138684999999995,76036,35.4,32,33.7,"red",FALSE,22,4,3917.94735117,"W",46.8993930762882
"4134","base-taskset-2",5,200,25,320.14,6.88405586,NA,0,NA,33.5,31.5,32.5,"blue",TRUE,22,3,3924.83140703,"B",46.5045616291673
"4135","taskset-2",5,200,25,430.6,9.29815806,42,0.138221999999999,77881,35.8,35.6,35.7,"red",FALSE,22,4,3934.12956509,"W",46.3102473867819
"4136","base-taskset-2",5,200,25,321.08,6.89241886,NA,0,NA,35,31.5,33.25,"blue",TRUE,22,3,3941.02198395,"B",46.5845164842463
"4137","taskset-2",5,200,25,423.08,9.29433519,46,0.0237020000000001,85635,35.2,30.5,32.85,"red",FALSE,22,4,3950.31631914,"W",45.5202003533509
"4138","base-taskset-2",5,200,25,325.21,6.95524229,NA,0,NA,34.8,31.5,33.15,"blue",TRUE,22,3,3957.27156143,"B",46.7575371842294
"4139","taskset-2",5,200,25,442.13,9.34827329,54,0.140675000000002,100189,33.5,31.5,32.5,"red",FALSE,22,4,3966.61983472,"W",47.2953652813032
"4140","base-taskset-2",5,200,25,324.62,6.89008101,NA,0,NA,33.5,31.5,32.5,"blue",TRUE,22,3,3973.50991573,"B",47.114104976249
"4141","taskset-2",5,200,25,432.07,9.31668772,45,0.332752999999997,83713,34.8,32,33.4,"red",FALSE,22,4,3982.82660345,"W",46.3759238245671
"4142","base-taskset-2",5,200,25,325.3,6.93140132,NA,0,NA,33,31.5,32.25,"blue",TRUE,22,3,3989.75800477,"B",46.9313469213466
"4143","taskset-2",5,200,25,443.65,9.4066093,69,0.111581000000001,127915,33,30.1,31.55,"red",FALSE,22,4,3999.16461407,"W",47.1636469476839
"4144","base-taskset-2",5,200,25,321.28,6.89075818,NA,0,NA,34.5,32.5,33.5,"blue",TRUE,22,3,4006.05537225,"B",46.6247677842614
"4145","taskset-2",5,200,25,443.39,9.33269495,29,0.192664999999998,53903,34,31.5,32.75,"red",FALSE,22,4,4015.3880672,"W",47.5093209812885
"4146","base-taskset-2",5,200,25,325.38,6.93996018,NA,0,NA,33,32,32.5,"blue",TRUE,22,3,4022.32802738,"B",46.8849952392666
"4147","taskset-2",5,200,25,436.8,9.3475844,50,0.192337999999999,92729,33.2,31,32.1,"red",FALSE,22,4,4031.67561178,"W",46.7286500242779
"4148","base-taskset-2",5,200,25,318.58,6.91796367,NA,0,NA,33.8,30.5,32.15,"blue",TRUE,22,3,4038.59357545,"B",46.0511235960278
"4149","base-taskset-2",3,400,10,322.21,6.94949997,NA,0,NA,33.8,32,32.9,"blue",TRUE,23,3,4045.54307542,"B",46.364486853865
"4150","taskset-2",3,400,10,428.33,9.36153792,22,0.00292100000000062,81118,33.5,31.5,32.5,"red",FALSE,23,4,4054.90461334,"W",45.7542343640905
